"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZR2.00937GLS004","GLS",NULL,79.00,"wine bottle",NULL,1725,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-25","green","the Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS005","GLS",NULL,28.00,"wine bottle",NULL,1775,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS006","GLS",NULL,775.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","the Netherlands/Germany",NULL,100,147.00,NULL,NULL,NULL
"NZR2.00937GLS007","GLS",NULL,147.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,30,NULL,NULL,NULL,NULL
"NZR2.00937GLS008","GLS",NULL,41.00,"wine bottle",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,5,NULL,NULL,NULL,NULL
"NZR2.00937GLS009","GLS",NULL,46.00,"mineral water bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS010","GLS",NULL,49.00,"storage bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-137","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS011","GLS",NULL,188.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,35,NULL,NULL,NULL,NULL
"NZR2.00937GLS012","GLS",NULL,19.00,"storage bottle",NULL,1650,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS013","GLS",NULL,6.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
