"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZR2.00429GLS012","GLS","glass: colourless",8.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00429GLS013","GLS",NULL,17.00,"window glass",NULL,1800,1900,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00429GLS014","GLS","glass: colourless",27.00,"window glass",NULL,1900,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00429GLS015","GLS","glass",32.00,"bottle",NULL,1650,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-4","light yellow green","Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00429GLS016","GLS","glass",14.00,"bottle",NULL,1700,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00429GLS017","GLS","glass: colourless",10.00,"beaker/mug",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-37","colourless","the Netherlands",NULL,65,NULL,NULL,"criss-cross pattern",NULL
"NZR2.00429GLS018","GLS","glass",2.00,"beaker/mug",NULL,1550,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-19","grey","the Netherlands/Germany",NULL,NULL,NULL,NULL,"waffle pattern",NULL
"NZR2.00429GLS019","GLS","glass: colourless",4.00,"beaker/mug",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-15","colourless","the Netherlands",10.00,NULL,NULL,NULL,"knobbed pattern",NULL
"NZR2.00430GLS001","GLS",NULL,686.00,"mineral water bottle",NULL,1875,1937,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-143","yellow green","central Europe",100.00,100,95.00,270.00,"mold-blown","CARLSBAD  L S"
"NZR2.00430GLS002","GLS",NULL,388.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-124","brown green","the Netherlands",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00430GLS003","GLS",NULL,62.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZR2.00431GLS001","GLS",NULL,35.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00431GLS002","GLS",NULL,22.00,"window glass",NULL,1600,1750,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00431GLS003","GLS",NULL,301.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",100.00,40,NULL,NULL,NULL,NULL
"NZR2.00431GLS004","GLS",NULL,54.00,"mineral water bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",50.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00431GLS005","GLS","glass: opaline",2.00,"lamp shade",NULL,1850,1925,NULL,NULL,"Interiors & Accessories","Lampshade",NULL,NULL,"gl-lam","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00432GLS001","GLS",NULL,440.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-21","green","Germany",100.00,85,NULL,NULL,NULL,NULL
"NZR2.00432GLS002","GLS",NULL,178.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,30,NULL,NULL,NULL,NULL
"NZR2.00432GLS003","GLS",NULL,11.00,"bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS001","GLS","glass: colourless",32.00,"medicine bottle",NULL,1850,1900,NULL,NULL,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-14","colourless","Netherlands/Germany",100.00,100100,31.00,53.00,NULL,NULL
"NZR2.00433GLS002","GLS",NULL,20.00,"medicine bottle",NULL,1600,1800,NULL,NULL,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-11","light green","Netherlands/Germany",100.00,100,36.00,65.00,NULL,NULL
"NZR2.00433GLS003","GLS",NULL,103.00,"case-bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS004","GLS",NULL,60.00,"case-bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS005","GLS","glass: colourless",32.00,"medicine bottle",NULL,1850,1925,NULL,NULL,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-14","colourless, with a hint of green","Netherlands",NULL,100,56.00,NULL,NULL,"250 T"
"NZR2.00433GLS006","GLS","glass: colourless",84.00,"bottle",NULL,1875,1937,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-71","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS007","GLS",NULL,328.00,"bottle",NULL,1850,1900,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,100,75.00,NULL,NULL,NULL
"NZR2.00433GLS008","GLS",NULL,896.00,"wine bottle",NULL,1850,1900,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-92","green","western Europe",NULL,100,65.00,NULL,NULL,NULL
"NZR2.00433GLS009","GLS",NULL,154.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-124","brown green","the Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS010","GLS",NULL,488.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",100.00,45,NULL,NULL,NULL,NULL
"NZR2.00433GLS011","GLS",NULL,336.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00433GLS012","GLS",NULL,190.00,"wine bottle",NULL,1675,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England/Germany",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00433GLS013","GLS",NULL,41.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,10,NULL,NULL,NULL,NULL
"NZR2.00433GLS014","GLS",NULL,37.00,"wine bottle",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS015","GLS",NULL,1722.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",100.00,340,NULL,NULL,NULL,NULL
"NZR2.00433GLS016","GLS",NULL,2476.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,590,NULL,NULL,NULL,NULL
"NZR2.00433GLS017","GLS",NULL,39.00,"wine bottle",NULL,1725,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS018","GLS",NULL,483.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",100.00,100,145.00,NULL,NULL,NULL
"NZR2.00433GLS019","GLS",NULL,203.00,"wine bottle",NULL,1725,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-25","green","western Europe",200.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS020","GLS",NULL,200.00,"mineral water bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",100.00,100,NULL,NULL,NULL,NULL
"NZR2.00433GLS021","GLS",NULL,113.00,"wine bottle",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",90.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS022","GLS",NULL,220.00,"wine bottle",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-19","green","Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS023","GLS",NULL,323.00,"storage bottle",NULL,1675,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS024","GLS",NULL,80.00,"storage bottle",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-105","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS025","GLS",NULL,16.00,"bottle",NULL,1650,1750,NULL,NULL,"Interiors & Accessories","Sanitary: portable",NULL,NULL,"gl","green","Netherlands/Germany",15.00,NULL,200.00,NULL,NULL,NULL
"NZR2.00433GLS026","GLS","glass: forest-glass",7.00,"roemer",NULL,1630,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","the Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00433GLS027","GLS","glass: lead-glass",88.00,"goblet",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-6","colourless","England?",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS028","GLS","glass: lead-glass",50.00,"goblet",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-3","colourless","England?",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS029","GLS",NULL,10.00,"mineral water bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS030","GLS","glass: colourless",44.00,"window glass",NULL,1900,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS031","GLS",NULL,20.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS032","GLS","glass: colourless",85.00,"window glass",NULL,1800,1900,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS033","GLS","glass: colourless",12.00,"window glass",NULL,1800,1937,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS034","GLS",NULL,6.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS035","GLS","glass: colourless",4.50,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS036","GLS","glass: opaline",1.00,"lamp shade",NULL,1850,1925,NULL,NULL,"Interiors & Accessories","Lampshade",NULL,NULL,"gl-lam","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS037","GLS","glass: colourless",11.00,"spouted jug",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Spouted jug",NULL,"gl-kan-3","colourless","western Europe",NULL,35,NULL,NULL,NULL,NULL
"NZR2.00433GLS038","GLS","glass",11.00,NULL,NULL,1900,1937,NULL,NULL,"Not classified",NULL,NULL,NULL,"gl","green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS039","GLS","glass: colourless",39.00,"beaker/mug",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-6","colourless","Europe",NULL,50,NULL,NULL,NULL,NULL
"NZR2.00433GLS040","GLS",NULL,17.00,"beaker/mug",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00433GLS041","GLS","glass",44.00,"bottle",NULL,1600,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","the Netherlands/Germany",NULL,200,NULL,NULL,NULL,NULL
"NZR2.00433GLS042","GLS","glass",56.00,"beaker/mug",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","green","the Netherlands/Germany",NULL,100,NULL,NULL,"knobbed pattern",NULL
"NZR2.00436GLS001","GLS",NULL,471.00,"wine bottle",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-77","green","Netherlands?",NULL,50,90.00,NULL,NULL,NULL
"NZR2.00436GLS002","GLS",NULL,38.00,"wine bottle",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00436GLS003","GLS",NULL,24.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00436GLS004","GLS",NULL,111.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00436GLS005","GLS","glass: colourless",40.00,"paraffin lamp","chimney",1850,1925,NULL,NULL,"Interiors & Accessories","Lighting: kerosene or refined oil","Glass chimney paraffin lamp, possibly oil lamp",NULL,"gl-lam-1","colourless",NULL,100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00437GLS001","GLS",NULL,1020.00,"mineral water bottle",NULL,1900,1937,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-143","yellow green","central Europe",100.00,100,75.00,235.00,"mold-blown","FERENC JOZSEF. KESERUVIZ"
"NZR2.00437GLS002","GLS",NULL,494.00,"bottle",NULL,1890,1925,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-166","green","western Europe",100.00,100,75.00,255.00,"mold-blown",NULL
"NZR2.00437GLS003","GLS",NULL,38.00,"mineral water bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00437GLS004","GLS",NULL,14.00,"bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-10","light green","Netherlands/Germany",55.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00437GLS005","GLS",NULL,361.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",50.00,50,NULL,NULL,NULL,NULL
"NZR2.00437GLS006","GLS",NULL,360.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-21","light green","Germany",100.00,50,NULL,NULL,NULL,NULL
"NZR2.00437GLS007","GLS",NULL,10.00,"wine bottle",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","yellow green","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00437GLS008","GLS","glass",95.00,"navigationlight","chimney",1875,1937,NULL,NULL,"Distribution & Transport","Transport, watercraft: equipment","Navigation light",NULL,"gl-lam","red",NULL,NULL,100,125.00,NULL,NULL,NULL
"NZR2.00438GLS001","GLS",NULL,439.00,"wine bottle",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-131","green","Netherlands/Germany",100.00,100,90.00,205.00,NULL,NULL
"NZR2.00438GLS002","GLS",NULL,144.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,40,NULL,NULL,NULL,NULL
"NZR2.00438GLS003","GLS",NULL,285.00,"wine bottle",NULL,1775,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,95,NULL,NULL,NULL,NULL
"NZR2.00438GLS004","GLS",NULL,16.00,"wine bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00438GLS005","GLS","glass: colourless",16.00,"bottle",NULL,1750,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00438GLS006","GLS","glass: colourless",26.00,"paraffin lamp","chimney",1850,1925,NULL,NULL,"Interiors & Accessories","Lighting: kerosene or refined oil","Glass chimney paraffin lamp, possibly oil lamp",NULL,"gl-lam","colourless",NULL,NULL,100,NULL,NULL,NULL,NULL
"NZR2.00438GLS007","GLS","glass: colourless",34.00,"beaker/mug",NULL,1850,1937,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl","colourless","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00438GLS008","GLS","glass: colourless",27.00,NULL,NULL,1700,1850,NULL,NULL,"Not classified",NULL,NULL,NULL,"gl","colourless","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00438GLS009","GLS","glass: colourless",25.00,NULL,NULL,1750,1850,NULL,NULL,"Not classified",NULL,NULL,NULL,"gl","colourless","Europe",NULL,25,NULL,NULL,NULL,NULL
"NZR2.00438GLS010","GLS","glass: colourless",7.00,NULL,NULL,1600,1800,NULL,NULL,"Not classified",NULL,NULL,NULL,"gl","colourless, with a hint of yellow",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00438GLS011","GLS","glass: colourless",8.00,"beaker/mug",NULL,1800,1875,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-38","colourless","the Netherlands",NULL,NULL,NULL,NULL,"mold-blown",NULL
"NZR2.00439GLS001","GLS","glass: colourless",53.00,"bottle",NULL,1775,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-86","colourless, with a hint of green","Netherlands/Germany",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00439GLS002","GLS","glass: colourless",29.00,"bottle",NULL,1850,1900,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-96","colourless, with a hint of green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS003","GLS",NULL,64.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","yellow green","the Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS004","GLS",NULL,199.00,"bottle",NULL,1875,1925,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-96","light blue green","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00439GLS005","GLS",NULL,87.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,25,NULL,NULL,NULL,NULL
"NZR2.00439GLS006","GLS",NULL,317.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,50,NULL,NULL,NULL,NULL
"NZR2.00439GLS007","GLS",NULL,111.00,"mineral water bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS008","GLS",NULL,237.00,"mineral water bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",50.00,100,170.00,310.00,NULL,NULL
"NZR2.00439GLS009","GLS",NULL,123.00,"storage bottle",NULL,1650,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS010","GLS",NULL,30.00,"window glass",NULL,1800,1900,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS011","GLS",NULL,10.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS012","GLS",NULL,24.50,"window glass",NULL,1900,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","white",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS013","GLS","glass: opaline",148.00,"lamp shade",NULL,1850,1925,NULL,NULL,"Interiors & Accessories","Lampshade",NULL,NULL,"gl-lam","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS014","GLS","glass",7.00,"bottle",NULL,1700,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00439GLS015","GLS","glass: colourless",42.00,"beaker/mug",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-58","colourless","the Netherlands/Germany",NULL,100,NULL,NULL,"mold-blown",NULL
"NZR2.00440GLS001","GLS","glass: colourless",241.00,"ink pot",NULL,1850,1900,NULL,NULL,"Communication & Exchange","Communication: writing, ink","Ink pot (glass)",NULL,"gl-ink-7","colourless","western Europe",100.00,100,85.00,58.00,NULL,NULL
"NZR2.00440GLS002","GLS","glass",328.00,"soda-water bottle",NULL,1872,1900,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Soda water-/lemonade bottle",NULL,"gl-fle-152","amber","England",100.00,100,55.00,188.00,NULL,NULL
"NZR2.00440GLS003","GLS","glass",222.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,70,NULL,NULL,NULL,NULL
"NZR2.00440GLS004","GLS","glass",153.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,35,NULL,NULL,NULL,NULL
"NZR2.00440GLS005","GLS","glass",93.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00440GLS006","GLS","glass",12.00,"bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-9","yellow green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00440GLS007","GLS","glass",16.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,15,NULL,NULL,NULL,NULL
"NZR2.00440GLS008","GLS","glass: opaline",15.00,"lamp shade",NULL,1850,1925,NULL,NULL,"Interiors & Accessories","Lampshade",NULL,NULL,"gl-lam","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS001","GLS","glass",1417.00,"wine bottle",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",100.00,100,150.00,195.00,NULL,NULL
"NZR2.00441GLS002","GLS",NULL,1821.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",100.00,100,NULL,NULL,NULL,NULL
"NZR2.00441GLS003","GLS",NULL,302.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,75,NULL,NULL,NULL,NULL
