"find_number","material_category","material","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","ceramics_rim_eve_estimated_vessel_equivalent","ceramics_base_eve_estimated_vessel_equivalent","ceramics_reconstructed_object_diameter_in_mm","ceramics_reconstructed_object_height_in_mm","ceramics_surface_treatment","ceramics_decoration_technique","ceramics_image_type","ceramics_mark","material_simplified"
"NZR2.00527CER242","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,40.0,260.0,23.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00529CER101","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,25.0,220.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00529CER103","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,5.0,240.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00529CER105","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,250.0,27.0,"lead-glaze with blue underglaze","blue-white",NULL,NULL,"industrial ware"
"NZR2.00530CER002","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: cutlery and tools",100.0,0.0,55.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER069","CER","industrial ware: white",1825,1850,"Food Processing & Consumption","Consumption: drinking",10.0,100.0,80.0,45.0,"lead-glaze","transfer printing, blue","animal scenery",NULL,"industrial ware"
"NZR2.00530CER072","CER","industrial ware: white",1875,1925,"Food Processing & Consumption","Consumption: drinking",10.0,20.0,90.0,50.0,"lead-glaze","transfer printing, blue","chinese decor",NULL,"industrial ware"
"NZR2.00530CER074","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",10.0,105.0,100.0,55.0,"lead-glaze","transfer printing, blue","landscape",NULL,"industrial ware"
"NZR2.00530CER076","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Consumption: drinking",20.0,45.0,135.0,30.0,"lead-glaze","transfer printing, blue","landscape",NULL,"industrial ware"
"NZR2.00530CER077","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",20.0,30.0,135.0,27.0,"lead-glaze","transfer printing, blue","genre scene",NULL,"industrial ware"
"NZR2.00530CER080","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",30.0,70.0,85.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER084","CER","industrial ware: white",1825,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,20.0,140.0,30.0,"lead-glaze","luster","floral motif",NULL,"industrial ware"
"NZR2.00530CER086","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,15.0,140.0,27.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER087","CER","industrial ware: white",1840,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",35.0,115.0,145.0,27.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER090","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Consumption: drinking",50.0,5.0,95.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER094","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Consumption of food and drinks: table accessories",25.0,35.0,85.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER103","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption of tobacco and stimulants",15.0,0.0,140.0,10.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER106","CER","industrial ware: white",1850,1880,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,30.0,170.0,47.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER122","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,20.0,90.0,57.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER146","CER","industrial ware: white",1775,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,15.0,250.0,35.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER148","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,220.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00530CER149","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,20.0,195.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
