"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZD1.00468MTL035","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00468MTL055","MTL","metal: lead","777","1500","1900","Not classified",NULL,"-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00468MTL056","MTL","metal: lead","777","1550","1800","Food Processing & Consumption","Supplies, liquids general","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL034","MTL","metal: lead","777","1600","1700","Communication & Exchange","Exchange, product quality guarantee: English textile","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL035","MTL","metal: lead","777","1500","1600","Communication & Exchange","Exchange, product quality guarantee: English textile","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL036","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL038","MTL","metal: lead","777","1550","1850","Arms & Armour","Ammunition: handgun shot","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL039","MTL","metal: lead","777","1600","1800","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL044","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL046","MTL","metal: lead","777","1600","1700","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL065","MTL","metal: lead","777","1950","2005","Arms & Armour","Ammunition: hailshot and airgun","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL070","MTL","metal: lead","777","1500","1900","Buildings & Structures","Fixtures for water or gas","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL081","MTL","metal: lead","777","1500","1700","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL121","MTL","metal: lead","777","1325","1425","Communication & Exchange","Exchange, financial: pseudo monetary. Payment token","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00470MTL011","MTL","metal: lead","777","1500","1900","Not classified",NULL,"-10.43","-11.50","-10.9650000000000000","metal: lead"
"NZD1.00470MTL015","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-10.43","-11.50","-10.9650000000000000","metal: lead"
"NZD1.00478MTL006","MTL","metal: lead","888","1550","1800","Food Processing & Consumption","Supplies, liquids general","-9.15","-10.42","-9.7850000000000000","metal: lead"
"NZD1.00488MTL006","MTL","metal: lead","888","1500","1900","Buildings & Structures","Fixtures for water or gas","-9.15","-10.42","-9.7850000000000000","metal: lead"
"NZD1.00501MTL007","MTL","metal: lead","888","1500","1900","Buildings & Structures","Windows","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00501MTL009","MTL","metal: lead","888","1400","1500","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00501MTL011","MTL","metal: lead","888","1500","1800","Craft & Industry","Tools, food production: fishing and hunting","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00503MTL003","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00504MTL027","MTL","metal: lead","777","1400","1500","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00504MTL031","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00504MTL041","MTL","metal: lead","777","1600","1700","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00504MTL042","MTL","metal: lead","777","1400","1800","Communication & Exchange","Exchange, profane: unspecified token","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00505MTL020","MTL","metal: lead","777","1550","1850","Arms & Armour","Ammunition: handgun shot","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00505MTL026","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00506MTL022","MTL","metal: lead","777","1500","1600","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-10.80","-11.80","-11.3000000000000000","metal: lead"
"NZD1.00506MTL023","MTL","metal: lead","777","1450","1650","Craft & Industry","Tools, textile production: spinning","-10.80","-11.80","-11.3000000000000000","metal: lead"
"NZD1.00506MTL029","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-10.80","-11.80","-11.3000000000000000","metal: lead"
"NZD1.00506MTL030","MTL","metal: lead","777","1400","1500","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-10.80","-11.80","-11.3000000000000000","metal: lead"
"NZD1.00507MTL031","MTL","metal: lead","777","1600","1800","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL032","MTL","metal: lead","777","1500","1900","Buildings & Structures","Windows","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL057","MTL","metal: lead","777","1550","1800","Food Processing & Consumption","Supplies, liquids general","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL058","MTL","metal: lead","777","1550","1800","Food Processing & Consumption","Supplies, liquids general","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL059","MTL","metal: lead","777","1400","1600","Craft & Industry","Tools, textile production: spinning","-11.90","-12.25","-12.0750000000000000","metal: lead"
